State,TOTAL POPULATION,MALE CITIZENS 21 YEARS AGE AND OVER,MALES 21 YEARS AGE AND OVER,MALES 18-45 YEARS AGE,FEMALES 5-18 YEARS AGE,MALES 5-18 YEARS AGE,TOTAL FEMALES,TOTAL MALES,WHITE MALES 15-20 WHO CANNOT WRITE,WHITE FEMALES 15-20 WHO CANNOT WRITE,WHITE MALES 21 AND OVER WHO CANNOT WRITE,WHITE FEMALES 21 AND OVER WHO CANNOT WRITE,COLORED MALES 10-14 WHO CANNOT WRITE,COLORED FEMALES 10-14 WHO CANNOT WRITE,COLORED MALES 15-20 WHO CANNOT WRITE,COLORED FEMALES 15-20 WHO CANNOT WRITE,COLORED MALES 21 AND OVER WHO CANNOT WRITE,COLORED FEMALES 21 AND OVER WHO CANNOT WRITE,WHITE FEMALES 10-14 WHO CANNOT WRITE,WHITE MALES 10-14 WHO CANNOT WRITE,FOREIGN-BORN PERSONS WHO CANNOT WRITE,TOTAL PERSONS ATTENDING SCHOOL,NATIVE-BORN PERSONS ATTENDING SCHOOL,FOREIGN-BORN PERSONS ATTENDING SCHOOL,WHITE MALES ATTENDING SCHOOL,WHITE FEMALES ATTENDING SCHOOL,COLORED MALES ATTENDING SCHOOL,COLORED FEMALES ATTENDING SCHOOL,PERSONS 10 AND OVER WHO CANNOT READ,TOTAL PERSONS WHO CANNOT WRITE,NATIVE-BORN PERSONS WHO CANNOT WRITE
MARYLAND,"780,894","169,845","184,742","144,695","121,522","122,932","395,910","384,984","3,022","3,077","13,344","19,422","7,143","6,502","7,075","8,278","27,123","32,582","3,653","4,274","8,592","105,435","103,930","1,505","51,668","46,093","3,808","3,866","114,100","135,499","126,907"
MASSACHUSETTS,"1,457,351","312,770","398,157","298,767","187,180","184,640","753,572","703,779","3,013","4,394","30,920","52,890",29,30,76,147,822,"1,044","2,144","2,215","89,830","287,405","270,369","17,036","143,779","141,755",941,907,"74,935","97,742","7,912"
MICHIGAN,"1,184,059","274,459","315,937","252,821","176,724","181,806","566,314","617,745","2,973","2,125","17,543","17,986",170,199,169,161,"1,015",941,"3,294","4,728","30,580","264,217","239,865","24,352","136,607","125,754",769,714,"34,613","53,127","22,547"
MINNESOTA,"439,706","75,274","114,739","94,238","70,008","72,657","204,407","235,299","1,014",975,"8,041","10,109",2,4,11,4,44,37,"1,680","2,122","18,855","96,793","83,732","13,061","50,158","46,528",35,40,"12,747","24,413","5,558"
MISSISSIPPI,"827,922","169,737","174,845","149,698","137,587","141,412","414,501","413,421","5,447","4,749","9,357","13,746","24,076","22,606","23,216","26,867","80,810","87,327","6,555","8,174",827,"39,141","39,085",56,"17,139","16,264","2,768","2,970","291,718","313,310","312,483"
MISSOURI,"1,721,295","380,235","408,206","352,998","283,487","294,316","824,948","896,347","14,755","12,731","34,780","50,124","5,364","5,133","5,355","6,181","18,002","20,587","21,864","27,509","15,584","324,348","317,745","6,603","165,792","149,468","4,557","4,523","146,771","222,411","206,827"
NEBRASKA,"122,993","36,169","39,080","35,677","16,744","17,779","52,568","70,425",317,212,956,"1,169",16,10,15,21,93,50,809,"1,167","1,309","17,956","16,587","1,369","9,437","8,463",30,18,"2,365","4,861","3,552"
NEVADA,"42,491","18,652","26,920","24,762","2,575","2,762","10,112","32,379",20,10,474,126,0,0,0,0,15,6,15,8,774,"2,893","2,796",97,"1,451","1,433",6,2,727,872,98
NEW HAMPSHIRE,"318,300","83,361","91,016","60,684","38,693","40,073","162,660","155,640",712,700,"3,361","4,225",4,3,10,8,38,32,377,456,"7,934","65,824","64,366","1,458","34,353","31,423",25,23,"7,618","9,926","1,992"
NEW JERSEY,"906,096","194,109","231,862","180,987","130,813","132,049","456,424","449,672","2,113","2,309","14,515","21,916",432,443,481,551,"2,881","3,509","2,546","2,987","24,961","158,099","152,009","6,090","79,320","75,428","1,784","1,553","37,057","54,687","29,726"
NEW YORK,"4,382,759","981,587","1,158,901","881,500","617,329","613,659","2,219,530","2,163,229","8,138","10,435","73,208","116,744",371,366,585,622,"3,912","4,874","9,127","10,772","168,569","846,796","806,640","40,156","430,731","410,426","2,835","2,753","163,501","239,271","70,702"
NORTH CAROLINA,"1,071,361","214,224","217,813","174,825","177,509","182,421","552,657","518,704","15,384","16,527","33,111","62,728","21,313","19,642","21,341","23,464","68,669","76,177","18,407","20,240",117,"65,301","65,282",19,"28,357","25,511","5,491","5,928","339,789","397,690","397,573"
OHIO,"2,665,260","592,350","640,820","501,750","420,505","425,466","1,327,710","1,337,550","8,568","7,491","41,439","68,449","1,274","1,115","1,372","1,398","7,531","8,076","11,372","15,064","39,070","645,639","632,202","13,437","329,367","306,413","5,097","4,747","92,720","173,172","134,102"
OREGON,"90,923","24,608","28,616","23,959","14,365","15,035","37,792","53,131",161,109,"1,085","1,096",3,4,4,3,48,28,388,572,"1,424","18,096","17,962",134,"9,574","8,475",20,8,"2,609","4,427","3,003"
PENNSYLVANIA,"3,521,951","776,345","865,883","679,506","535,907","540,133","1,763,452","1,758,499","8,494","9,655","61,350","116,261",401,450,719,"1,096","5,758","7,469","4,963","5,735","95,553","725,004","706,716","18,288","369,674","347,445","4,023","3,857","131,728","222,356","126,803"
RHODE ISLAND,"217,353","43,996","58,752","44,377","27,941","27,834","112,597","104,756","1,090","1,383","5,922","10,152",26,20,63,49,291,421,"1,195","1,289","17,477","34,948","32,921","2,027","17,643","16,649",309,309,"15,416","21,921","4,444"
SOUTH CAROLINA,"705,606","146,614","148,052","120,151","115,406","118,509","361,704","343,902","5,411","5,691","12,490","17,901","20,887","19,918","20,329","25,276","70,830","77,924","6,375","7,299",653,"41,569","41,519",50,"12,731","11,961","8,339","8,534","265,892","290,379","289,726"
TENNESSEE,"1,258,520","259,016","263,200","222,903","211,670","217,922","635,173","623,347","15,962","17,349","37,713","68,825","16,407","15,245","16,279","18,835","55,938","63,248","17,991","20,887","1,742","120,710","120,569",141,"58,524","51,790","4,938","5,453","290,549","364,697","362,955"
TEXAS,"818,579","169,258","184,094","158,765","139,667","145,184","395,022","423,557","7,144","6,482","17,505","19,845","14,323","13,366","13,070","15,040","47,235","47,583","8,748","11,171","18,369","65,205","64,384",821,"31,598","29,412","2,045","2,144","200,423","221,703","203,334"
VERMONT,"330,551","74,867","90,806","62,459","44,164","45,667","164,830","165,721","1,317","1,105","6,867","6,445",3,3,16,12,45,37,815,"1,035","13,804","70,199","67,235","2,964","36,755","33,349",58,37,"15,185","17,706","3,902"
VIRGINIA,"1,225,163","266,680","269,242","206,658","196,709","200,103","628,105","597,058","11,095","10,343","27,646","40,351","29,723","27,710","26,161","31,047","97,908","109,687","15,358","18,745","1,270","70,871","70,768",103,"31,783","28,009","5,105","5,943","390,913","445,893","444,623"
WEST VIRGINIA,"442,014","93,435","95,317","76,832","73,965","76,879","219,171","222,843","5,808","5,913","15,181","24,545",861,804,844,860,"3,186","3,442","9,342","10,704","3,101","82,193","81,786",407,"43,278","37,703",634,578,"48,802","81,490","78,389"
WISCONSIN,"1,054,670","203,077","255,159","192,331","175,347","178,669","509,784","544,886","2,777","2,487","17,637","22,670",12,7,25,16,185,115,"4,244","5,030","41,328","260,732","235,835","24,897","135,015","125,281",180,126,"35,031","55,441","14,113"
